scope,name,split,success,total,success_rate
task,pick_dual_bottles,background,2.0,3.0,0.6666666666666666
task,pick_dual_bottles,clutter,3.0,3.0,1.0
task,pick_dual_bottles,easy,2.0,3.0,0.6666666666666666
task,pick_dual_bottles,hard,1.0,3.0,0.3333333333333333
task,pick_dual_bottles,height,2.0,3.0,0.6666666666666666
task,pick_dual_bottles,light,1.0,3.0,0.3333333333333333
task,place_a2b_left,background,0.0,3.0,0.0
task,place_a2b_left,clutter,0.0,3.0,0.0
task,place_a2b_left,easy,0.0,3.0,0.0
task,place_a2b_left,hard,0.0,3.0,0.0
task,place_a2b_left,height,1.0,3.0,0.3333333333333333
task,place_a2b_left,light,0.0,3.0,0.0
task,place_a2b_right,background,0.0,3.0,0.0
task,place_a2b_right,clutter,1.0,3.0,0.3333333333333333
task,place_a2b_right,easy,0.0,3.0,0.0
task,place_a2b_right,hard,0.0,3.0,0.0
task,place_a2b_right,height,1.0,3.0,0.3333333333333333
task,place_a2b_right,light,1.0,3.0,0.3333333333333333
task,place_bread_basket,background,1.0,3.0,0.3333333333333333
task,place_bread_basket,clutter,0.0,3.0,0.0
task,place_bread_basket,easy,0.0,3.0,0.0
task,place_bread_basket,hard,0.0,3.0,0.0
task,place_bread_basket,height,0.0,3.0,0.0
task,place_bread_basket,light,1.0,3.0,0.3333333333333333
task,place_bread_skillet,background,0.0,3.0,0.0
task,place_bread_skillet,clutter,1.0,3.0,0.3333333333333333
task,place_bread_skillet,easy,0.0,3.0,0.0
task,place_bread_skillet,hard,0.0,3.0,0.0
task,place_bread_skillet,height,0.0,3.0,0.0
task,place_bread_skillet,light,1.0,3.0,0.3333333333333333
task,place_burger_fries,background,0.0,3.0,0.0
task,place_burger_fries,clutter,2.0,3.0,0.6666666666666666
task,place_burger_fries,easy,1.0,3.0,0.3333333333333333
task,place_burger_fries,hard,1.0,3.0,0.3333333333333333
task,place_burger_fries,height,0.0,3.0,0.0
task,place_burger_fries,light,1.0,3.0,0.3333333333333333
task,place_can_basket,background,1.0,3.0,0.3333333333333333
task,place_can_basket,clutter,0.0,3.0,0.0
task,place_can_basket,easy,1.0,3.0,0.3333333333333333
task,place_can_basket,hard,0.0,3.0,0.0
task,place_can_basket,height,1.0,3.0,0.3333333333333333
task,place_can_basket,light,0.0,3.0,0.0
task,place_cans_plasticbox,background,3.0,3.0,1.0
task,place_cans_plasticbox,clutter,1.0,3.0,0.3333333333333333
task,place_cans_plasticbox,easy,1.0,3.0,0.3333333333333333
task,place_cans_plasticbox,hard,1.0,3.0,0.3333333333333333
task,place_cans_plasticbox,height,0.0,3.0,0.0
task,place_cans_plasticbox,light,2.0,3.0,0.6666666666666666
task,place_container_plate,background,2.0,3.0,0.6666666666666666
task,place_container_plate,clutter,3.0,3.0,1.0
task,place_container_plate,easy,2.0,3.0,0.6666666666666666
task,place_container_plate,hard,1.0,3.0,0.3333333333333333
task,place_container_plate,height,1.0,3.0,0.3333333333333333
task,place_container_plate,light,1.0,3.0,0.3333333333333333
task,place_dual_shoes,background,0.0,3.0,0.0
task,place_dual_shoes,clutter,0.0,3.0,0.0
task,place_dual_shoes,easy,0.0,3.0,0.0
task,place_dual_shoes,hard,0.0,3.0,0.0
task,place_dual_shoes,height,0.0,3.0,0.0
task,place_dual_shoes,light,0.0,3.0,0.0
task,place_empty_cup,background,2.0,3.0,0.6666666666666666
task,place_empty_cup,clutter,0.0,3.0,0.0
task,place_empty_cup,easy,1.0,3.0,0.3333333333333333
task,place_empty_cup,hard,3.0,3.0,1.0
task,place_empty_cup,height,2.0,3.0,0.6666666666666666
task,place_empty_cup,light,2.0,3.0,0.6666666666666666
task,place_fan,background,0.0,3.0,0.0
task,place_fan,clutter,0.0,3.0,0.0
task,place_fan,easy,0.0,3.0,0.0
task,place_fan,hard,0.0,3.0,0.0
task,place_fan,height,0.0,3.0,0.0
task,place_fan,light,0.0,3.0,0.0
task,place_mouse_pad,background,1.0,3.0,0.3333333333333333
task,place_mouse_pad,clutter,0.0,3.0,0.0
task,place_mouse_pad,easy,1.0,3.0,0.3333333333333333
task,place_mouse_pad,hard,0.0,3.0,0.0
task,place_mouse_pad,height,0.0,3.0,0.0
task,place_mouse_pad,light,0.0,3.0,0.0
task,place_object_basket,background,1.0,3.0,0.3333333333333333
task,place_object_basket,clutter,2.0,3.0,0.6666666666666666
task,place_object_basket,easy,0.0,3.0,0.0
task,place_object_basket,hard,0.0,3.0,0.0
task,place_object_basket,height,0.0,3.0,0.0
task,place_object_basket,light,1.0,3.0,0.3333333333333333
