run_id,checkpoint,sample_id,task,episode_or_seed,domain,c2r_split,progress_bin,layer,token_group,perturbation,severity,timestep_quantile,timestep,sigma,noise_seed,transform_seed,metric_name,metric_value,direction_group
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_photo,1.0,0.25,750.0,0.75,6638251237087193106,,centered_directional_fd,0.0,nuisance
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_photo,1.0,0.5,500.0,0.5,6638251237087193106,,centered_directional_fd,0.0,nuisance
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_photo,1.0,0.75,251.00001525878906,0.2510000169277191,6638251237087193106,,centered_directional_fd,0.0,nuisance
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,0.5,0.25,750.0,0.75,6638251237087193106,,centered_directional_fd,0.18614386022090912,signal
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,0.5,0.5,500.0,0.5,6638251237087193106,,centered_directional_fd,0.19532440602779388,signal
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,0.5,0.75,251.00001525878906,0.2510000169277191,6638251237087193106,,centered_directional_fd,0.2830088436603546,signal
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,1.0,0.25,750.0,0.75,6638251237087193106,,centered_directional_fd,0.08599813282489777,signal
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,1.0,0.5,500.0,0.5,6638251237087193106,,centered_directional_fd,0.0978555977344513,signal
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,1.0,0.75,251.00001525878906,0.2510000169277191,6638251237087193106,,centered_directional_fd,0.13476167619228363,signal
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.25,,,,,directional_selectivity,186143860220.90912,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.25,,,,,directional_selectivity,186143860220.90912,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.25,,,,,directional_selectivity,85998132824.89777,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.25,,,,,directional_selectivity,85998132824.89777,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.5,,,,,directional_selectivity,195324406027.79388,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.5,,,,,directional_selectivity,195324406027.79388,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.5,,,,,directional_selectivity,97855597734.4513,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.5,,,,,directional_selectivity,97855597734.4513,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.75,,,,,directional_selectivity,283008843660.3546,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.75,,,,,directional_selectivity,283008843660.3546,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.75,,,,,directional_selectivity,134761676192.28363,
stage0_contrastive_bs8_fn4_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.75,,,,,directional_selectivity,134761676192.28363,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_photo,0.5,0.25,750.0,0.75,2852135134852260049,,centered_directional_fd,0.0,nuisance
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_photo,0.5,0.5,500.0,0.5,2852135134852260049,,centered_directional_fd,0.0,nuisance
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_photo,0.5,0.75,251.00001525878906,0.2510000169277191,2852135134852260049,,centered_directional_fd,0.0,nuisance
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_photo,1.0,0.25,750.0,0.75,2852135134852260049,,centered_directional_fd,0.0,nuisance
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_photo,1.0,0.5,500.0,0.5,2852135134852260049,,centered_directional_fd,0.0,nuisance
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_photo,1.0,0.75,251.00001525878906,0.2510000169277191,2852135134852260049,,centered_directional_fd,0.0,nuisance
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_geometry,0.5,0.25,750.0,0.75,2852135134852260049,,centered_directional_fd,0.0,signal
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_geometry,0.5,0.5,500.0,0.5,2852135134852260049,,centered_directional_fd,0.0,signal
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_geometry,0.5,0.75,251.00001525878906,0.2510000169277191,2852135134852260049,,centered_directional_fd,0.0,signal
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_geometry,1.0,0.25,750.0,0.75,2852135134852260049,,centered_directional_fd,0.1920005977153778,signal
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_geometry,1.0,0.5,500.0,0.5,2852135134852260049,,centered_directional_fd,0.2056330442428589,signal
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,direction_geometry,1.0,0.75,251.00001525878906,0.2510000169277191,2852135134852260049,,centered_directional_fd,0.2564980387687683,signal
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,0.5,0.25,,,,,directional_selectivity,0.0,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,0.5,0.25,,,,,directional_selectivity,0.0,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,1.0,0.25,,,,,directional_selectivity,192000597715.3778,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,1.0,0.25,,,,,directional_selectivity,192000597715.3778,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,0.5,0.5,,,,,directional_selectivity,0.0,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,0.5,0.5,,,,,directional_selectivity,0.0,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,1.0,0.5,,,,,directional_selectivity,205633044242.8589,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,1.0,0.5,,,,,directional_selectivity,205633044242.8589,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,0.5,0.75,,,,,directional_selectivity,0.0,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,0.5,0.75,,,,,directional_selectivity,0.0,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,1.0,0.75,,,,,directional_selectivity,256498038768.7683,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_rgb/episode_000039/0_464,blocks_ranking_rgb,episode_000039,clean,,,,action_velocity,,1.0,0.75,,,,,directional_selectivity,256498038768.7683,
stage0_contrastive_bs8_fn4_001,base,clean/blocks_ranking_size/episode_000042/0_478,blocks_ranking_size,episode_000042,clean,,,,action_velocity,direction_photo,0.5,0.25,750.0,0.75,12174564400862382112,,centered_directional_fd,0.0,nuisance
