run_id,checkpoint,sample_id,task,episode_or_seed,domain,c2r_split,progress_bin,layer,token_group,perturbation,severity,timestep_quantile,timestep,sigma,noise_seed,transform_seed,metric_name,metric_value,action_frame
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,brightness,1.2,0.25,750.0,0.75,13788209987369430635,739887505226363588,velocity_relative_l2/frame,0.016967307776212692,2
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,brightness,1.2,0.25,750.0,0.75,13788209987369430635,739887505226363588,velocity_relative_l2/frame,0.035033077001571655,3
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,brightness,1.2,0.25,750.0,0.75,13788209987369430635,739887505226363588,velocity_relative_l2/frame,0.025430843234062195,4
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,brightness,1.2,0.25,750.0,0.75,13788209987369430635,739887505226363588,velocity_relative_l2/frame,0.03928372636437416,5
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,brightness,1.2,0.25,750.0,0.75,13788209987369430635,739887505226363588,velocity_relative_l2/frame,0.01384481880813837,6
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,brightness,1.2,0.25,750.0,0.75,13788209987369430635,739887505226363588,velocity_relative_l2/frame,0.044678617268800735,7
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,brightness,1.2,0.25,750.0,0.75,13788209987369430635,739887505226363588,velocity_relative_l2/frame,0.023694457486271858,8
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2,0.020076215267181396,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/left_position,0.0166513379663229,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/left_rotation,0.011130749247968197,
